battletag,SR,all_damage_done,armor_packs_created,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,molten_core_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,torbjorn_kills,turret_kills,turrets_destroyed,weapon_accuracy,win_percentage
XXXX#11211,2803,11889,16,0,0,0.05,20,8,0,13,0,8,1,1,0,0,0,0,2,1,0,1,0,0,0,8,19,0,0,0,1,0,540,78,8,10,0,0.45,0.26
Mace#21840,2951,400,5,0,0,0,0,3,0,1,0,1,0,0,0,0,0,400,1,0,1,1,0,0,0,0,0,0,0,0,1,0,120,0,1,0,0,0,0
Tea#1337,2554,128911,277,39158,4,0.05,114,45,0,254,0,97,4,10,1,5,0,88819,32,11,15,7,0,41,1,108,229,0,1,0,18,0,3600,988,129,203,0,0.33,0.58
greed#12963,4189,24329,45,0,0,0.07,39,12,0,42,0,17,1,2,0,1,0,0,4,1,1,2,0,4,0,6,15,0,0,0,5,0,1020,20,13,38,0,0.35,0.6
Blakers#11997,2059,6279,9,168,0,0.03,5,3,0,6,0,2,0,0,0,0,0,6111,1,1,0,0,0,1,0,2,6,0,0,0,1,0,300,0,4,3,0,0.36,0
Khazsper#11294,3214,2774,4,966,0,0.12,5,2,0,2,0,0,0,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,2,0,0.3,0
Quaviver#2321,3000,2938,8,514,0,0.04,1,3,0,2,0,0,0,0,0,0,0,2424,1,1,0,0,0,0,0,0,8,0,1,0,0,0,180,0,1,2,0,0.15,0
Golden#11204,3563,15183,29,3219,0,0.07,31,12,0,16,0,6,1,1,0,0,0,11917,3,1,1,2,1,3,0,5,32,0,0,0,1,0,600,0,8,11,0,0.32,0
Prsma#2499,2340,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1.0
Frewol#2817,1781,12021,22,2291,0,0.06,3,5,0,25,0,13,0,1,0,1,0,9463,3,1,1,1,0,2,0,10,9,0,0,0,1,0,660,0,6,23,0,0.14,0.6
SmashBros#21690,3307,30889,81,7443,1,0.08,52,20,0,47,0,17,1,2,0,2,0,23156,6,2,2,2,0,10,0,24,71,0,0,0,2,0,1620,249,26,34,0,0.25,0.69
Tenor#11801,2614,7685,19,2107,0,0.07,5,7,0,5,0,0,0,1,0,1,0,5281,2,1,0,1,0,2,0,0,5,0,0,0,0,0,480,0,0,5,0,0.16,0.68
B1TCHTEND0#1934,2362,597,0,126,0,0,0,1,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0.25,0
TheLegend27#11282,3285,17829,35,4227,0,0.06,16,11,0,30,0,11,1,2,0,1,0,13533,4,2,1,2,0,3,0,13,20,0,0,0,3,0,960,81,11,22,0,0.23,0.47
Rozvilcia#2565,2266,20979,74,3169,0,0.08,70,18,0,57,0,22,1,1,0,0,0,17531,2,1,0,1,0,5,1,35,203,0,0,0,3,0,1380,198,35,39,0,0.38,0.27
cavegoblin#11473,2647,9470,25,1946,1,0.11,14,7,0,24,0,12,0,1,0,1,0,7521,2,1,1,0,0,9,1,9,9,0,0,0,4,0,540,193,9,20,0,0.24,1.0
BabyFace#11366,3501,15094,48,1500,0,0.06,9,13,0,24,0,7,1,1,0,1,0,13187,3,2,1,1,0,2,0,10,33,0,0,0,1,0,1080,38,5,23,0,0.21,0.49
AlexPirate23#2384,2797,2593,1,1193,0,0,0,4,0,1,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1,1,0,0.15,0.46
jackynee500#2535,2458,14417,31,3924,1,0.07,20,3,0,27,0,13,0,1,0,1,0,10476,4,1,1,2,0,12,0,14,11,0,0,0,2,0,660,37,12,23,0,0.3,0.8
WARRIOR2K#2753,3791,22760,43,3615,0,0.07,29,10,0,41,0,16,0,1,1,0,0,19044,3,0,2,1,0,8,0,15,26,0,0,0,2,0,1020,121,13,38,0,0.23,0.75
MainTank#11506,2009,1761,5,127,0,0.22,2,0,0,11,0,5,0,0,0,0,0,1634,0,0,0,0,0,3,1,9,3,0,0,0,0,0,120,31,3,11,0,0.07,0
Pin#1290,3274,7653,9,2888,0,0.18,15,6,0,10,0,3,1,1,0,0,0,4765,1,0,0,1,0,1,0,2,1,0,0,0,0,0,300,0,8,6,0,0.34,0
Redoga#21709,3374,27371,70,6777,0,0.08,27,14,0,52,0,11,1,2,0,1,0,20395,6,3,2,1,0,10,1,25,88,0,0,0,3,0,1440,32,16,44,0,0.19,0.31
TechnoVizard#2744,2639,6851,13,1836,0,0.01,2,4,0,11,0,3,0,0,0,0,0,5005,1,0,0,1,0,1,0,4,13,0,0,0,0,0,300,0,5,8,0,0.26,0.36
DeadlyFeet#147873,2284,868,0,546,0,0,0,1,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0.14,1.0
AKPSeeker#1970,3650,5540,13,481,0,0.12,17,5,0,16,0,9,0,0,0,0,0,5014,1,0,0,0,0,2,0,7,14,0,0,0,0,0,300,13,5,14,0,0.33,0.45
uJolf#11767,2410,52575,174,8153,2,0.05,37,19,0,133,0,58,2,6,0,3,0,43995,14,6,3,5,0,25,3,58,68,0,0,0,9,0,3600,512,56,114,0,0.22,0.58
R1ddler#11950,2389,4384,7,868,0,0.03,3,7,0,2,0,0,0,0,0,0,0,751,1,0,0,0,0,0,0,1,13,0,0,0,0,0,300,0,0,2,0,0.22,0.33
WIMBO#21974,3434,29077,70,8542,0,0.06,34,16,0,50,0,14,2,2,0,0,0,20387,7,3,1,3,0,8,0,13,83,0,0,0,2,0,1500,11,23,43,0,0.34,0.2
GiGangan#2213,3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
woyzek1337#2179,2436,5201,13,2037,0,0.08,8,3,0,10,0,3,0,0,0,0,0,2269,1,1,0,0,0,0,0,3,10,0,0,0,0,0,240,0,6,8,0,0.15,0.38
bokster8#1871,1676,34522,72,8208,1,0.05,47,8,0,92,0,47,0,3,1,2,0,26053,8,4,2,1,0,14,1,30,63,0,0,0,11,0,1680,268,57,65,0,0.31,0.95
Daggercloak#1149,2729,7926,26,1710,0,0.11,20,7,0,20,0,9,1,1,0,0,0,6216,1,0,0,0,0,4,0,4,18,0,0,0,1,0,540,0,11,13,0,0.21,0
Iced#21875,3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dwob#1712,1935,17803,41,0,0,0.03,14,16,0,17,0,8,1,2,0,1,0,0,5,2,2,2,0,0,1,6,30,0,0,0,1,0,1140,0,5,14,0,0.41,0.37
Doyskie#11933,3000,2304,6,0,0,0.06,2,2,0,5,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,180,0,3,4,0,0.29,1.0
itstoosunny#1812,3319,2509,3,210,0,0.02,3,5,0,4,0,1,0,0,0,0,0,2299,2,1,0,1,0,0,0,1,9,0,1,0,0,0,180,0,3,2,0,0.37,0
Aegyrine#2594,2429,720,0,140,0,0,0,1,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,0.35,0
BANAKING16#2922,2362,4927,8,1031,0,0.11,7,5,0,8,0,4,0,0,0,0,0,3798,2,0,1,0,0,0,0,6,7,0,0,0,1,0,240,0,2,8,0,0.36,0
GreenRanger#21927,3638,4464,18,1796,0,0.07,10,0,0,13,0,6,0,0,0,0,0,2666,1,1,0,0,0,3,0,12,18,0,0,0,0,0,180,95,8,10,0,0.33,1.0
Lodrahil#2304,1345,7545,23,0,2,0.07,13,3,0,21,0,10,0,1,0,1,0,7403,3,0,2,1,0,5,0,9,12,0,0,0,3,0,360,162,3,19,0,0.26,0.61
PvtPinguS#1210,62,5014,6,0,0,0.08,4,4,0,10,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,2,17,0,0,0,0,0,300,0,2,9,0,0.31,0.14
DeadlyFeet#111327,1574,51538,114,0,1,0.06,101,37,0,120,0,47,2,6,1,3,0,0,11,4,3,3,1,18,1,42,93,0,0,0,12,0,3600,660,59,88,9,0.24,0.54
JNFWarrior#1690,2319,1041,1,504,0,0,0,1,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,6,0,0,0,0,0,60,0,0,0,0,0.08,0
Soul#23796,2565,187793,454,53612,3,0.07,206,104,0,333,0,145,5,16,1,9,0,132641,47,15,17,15,2,70,3,153,380,0,0,0,33,0,7200,752,142,272,0,0.23,0.62
Time#12175,2558,25594,38,0,0,0.07,17,11,0,35,0,12,0,1,0,1,0,0,4,2,0,2,0,4,1,9,39,0,0,0,3,0,1140,289,20,21,0,0.37,0.89
Bongakill#2634,2028,275506,668,57717,10,0.06,335,160,0,498,0,214,6,19,1,11,0,213980,60,13,30,17,0,116,3,232,710,0,0,0,60,0,10800,2956,252,384,0,0.28,0.63
Hakkatatsu#1800,2306,65,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1.0
Abhishtu#1362,1897,2222,3,1809,0,0,0,2,0,2,0,0,0,0,0,0,0,413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,2,0,0.52,0
Igneel#2647,1638,5723,6,0,0,0.07,11,6,0,7,0,4,0,1,0,1,0,0,1,0,0,1,0,2,0,3,36,0,0,0,2,0,480,51,5,4,0,0.19,0.79
Frostywinter#1698,1953,1142,0,402,0,0.12,1,1,0,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0.13,0
Poomer3BB#11846,2970,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
Lummajak#1709,2170,1480,2,294,0,0.2,8,1,0,2,0,1,0,0,0,0,0,1181,1,0,0,0,0,0,0,2,11,0,0,0,0,0,53,0,0,2,0,0.5,0
Yang#13954,2021,126,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,3,0,0,0,0,0,44,0,0,0,0,0,0.34
Tabs#1932,1911,288695,739,67745,10,0.07,399,101,0,560,0,212,9,23,2,12,0,218086,63,19,18,27,4,103,6,229,771,0,1,0,46,0,14400,2379,256,429,2,0.23,0.58
