battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scoped_accuracy,scoped_critical_hits,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,venom_mine_kills,weapon_accuracy,win_percentage
Ridge08#1968,2176,498,0,0,0.05,1,1,0,3,0,0,0,0,0,0,0,498,0,0,0,0,0,0,1,2,0,0,0,0.21,0,0,0,0,60,0,0,0,0.3,0
Mugagator#2439,2373,3883,328,0,0.1,3,4,0,4,0,3,0,0,0,0,0,2663,1,1,0,0,0,0,1,0,0,0,2,0.5,3,0,1,0,240,0,2,0,0.49,0
Arvs#2470,2758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
KingIsSenpai#2435,2671,71594,8003,0,0.14,129,107,0,170,0,121,10,12,0,2,0,61941,18,8,7,3,2,0,35,147,0,0,52,0.47,91,0,51,0,7200,241,7,7,0.38,0.18
xSoy#1702,3221,1308,0,0,0.17,3,4,0,2,0,1,0,0,0,0,0,1308,1,0,0,0,0,0,0,0,0,0,0,0.36,1,0,0,0,180,0,0,0,0.26,0
V3NOM#11756,1778,58502,8698,0,0.16,94,46,0,113,0,74,6,8,0,2,0,48346,14,5,3,5,0,0,38,46,0,0,45,0.47,68,0,24,0,3600,57,7,6,0.34,0.22
BIGCOOLDAD#2544,3527,735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,58,0,0,0,0.54,1.0
SelectShadow#1889,3000,59708,13555,0,0.12,120,58,0,111,0,69,4,5,0,1,0,45558,12,5,3,3,1,0,41,152,0,0,41,0.48,74,0,32,0,3600,246,5,3,0.43,0.22
Itswedge#1257,2167,2524,109,0,0.17,6,6,0,7,0,7,0,0,0,0,0,2415,1,0,0,0,0,0,1,0,0,0,2,0.65,5,0,5,0,180,20,0,0,0.51,0
lancemi#21537,2070,39077,12736,0,0.11,51,27,0,74,0,52,3,4,0,1,0,25447,7,0,3,4,0,0,32,92,0,0,21,0.75,27,0,10,0,2220,374,3,4,0.38,0.28
Volpin#21600,1944,574,75,0,0.2,2,1,0,2,0,2,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0.37,2,0,1,0,60,0,0,0,0.55,0
Delorean#1121,3330,156570,12521,2,0.22,322,147,0,387,0,282,9,15,0,5,0,141676,38,7,20,11,2,0,107,216,0,1,128,0.54,277,0,125,0,7200,2783,4,20,0.49,0.36
AISpex#2836,2633,33174,4191,0,0.26,77,51,0,72,0,54,4,5,0,0,0,28683,11,2,3,6,1,1,8,28,0,0,16,0.4,66,0,31,0,2940,153,0,7,0.39,0.04
Noofa#11580,1985,2426,1036,0,0,0,4,0,5,0,2,0,0,0,0,0,1391,1,0,0,0,0,0,1,0,0,0,3,0.43,0,0,0,0,240,0,0,0,0.32,0.5
dapwnyXpress#1870,2440,362955,82996,8,0.11,520,248,0,687,0,432,12,27,0,15,0,277769,63,19,24,20,2,2,215,552,0,0,268,0.61,308,0,138,0,18000,3155,11,74,0.41,0.55
NotTerran#1688,3722,156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,48,0,0,0,0.33,0.63
MrBagel#1524,2934,4594,1320,0,0.3,12,4,0,9,0,6,0,0,0,0,0,3274,1,1,1,0,0,0,4,7,0,0,1,0.57,7,0,5,0,240,0,0,0,0.43,0.08
Fox#14890,3603,120,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,60,0,0,0,0,0.33
Encilya#2207,3377,23328,0,0,0.18,52,24,0,45,0,26,2,3,0,1,0,0,4,1,1,2,0,0,5,24,0,0,0,0.55,37,0,11,0,1560,258,6,1,0.49,0.24
Revenger#1629,3720,224076,24886,4,0.19,478,162,0,563,0,382,6,17,0,10,0,197499,45,14,19,11,4,1,162,622,0,0,165,0.5,386,0,110,0,10800,2884,6,13,0.41,0.61
Mt1009#2917,3488,272484,58089,4,0.17,573,169,0,612,0,417,7,18,0,11,0,210949,50,14,25,11,7,5,197,777,0,0,196,0.51,403,2,120,0,14400,2264,16,49,0.39,0.59
Shade#13924,1268,871,403,0,1.0,2,1,0,2,0,2,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0.7,2,0,1,0,60,0,0,0,0.2,0
badgersana#2498,2345,64448,13026,1,0.21,113,44,0,121,0,91,4,5,0,1,0,49207,11,5,1,5,0,1,38,124,0,0,22,0.54,98,0,35,0,3540,384,6,5,0.4,0.22
Jardio#1490,4455,53802,10185,0,0.16,85,58,0,100,0,63,4,5,0,1,0,42863,13,6,4,4,0,0,26,130,0,0,38,0.52,60,0,21,0,3600,300,1,12,0.44,0.23
yuhboydanny#1529,2917,7488,1781,0,0.16,9,7,0,17,0,10,0,1,0,0,0,5707,2,1,0,1,0,0,5,19,0,1,4,0.43,8,0,4,0,540,0,0,2,0.14,0.29
RASH#22750,2883,2713,99,0,0.09,5,10,0,7,0,5,1,1,0,0,0,2614,1,0,0,0,0,0,1,13,0,0,1,0.51,3,0,0,0,300,42,0,0,0.31,0
Slin#2260,2376,2851,456,0,0.2,8,4,0,7,0,3,0,0,0,0,0,2395,1,1,0,0,0,0,5,24,0,0,4,0.46,2,0,0,0,240,0,0,1,0.31,1.0
