battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,enemies_emp'd,enemies_hacked,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Sinari#21873,2824,75818,9845,1,0,0,67,0,147,145,251,0,64,4,8,0,4,0,51674,20,13,2,6,6,2,56,634,86,0,0,15,0,3600,530,6,0.4,0.45
Kragtik#1501,3014,125110,16294,5,0,0,166,0,293,237,398,0,128,12,18,1,5,0,81733,30,16,3,10,5,3,114,775,158,0,0,23,0,10800,1096,5,0.38,0.27
Theleboucrt#2525,2369,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,25,0,0,0,0,0,32,0,0,0.18,1.0
LanceWND#2610,2475,872,0,0,0,0,3,0,4,1,7,0,1,0,0,0,0,0,824,0,0,0,0,0,0,0,6,3,0,0,1,0,120,0,0,0.34,1.0
Chaika#21594,3335,51367,9266,1,0,0,44,0,98,105,143,0,41,1,4,0,2,0,30907,13,5,3,5,1,1,50,243,60,0,0,5,0,3480,512,9,0.31,0.64
ArmDude#1855,3429,38283,9441,1,0,0,38,0,98,55,103,0,27,1,3,0,2,0,27804,10,5,1,4,2,1,47,300,47,1,0,3,0,2700,341,1,0.32,0.6
LaDragaux#1529,1526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,0,0,0,0
Markeliuz#1107,3120,330,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,120,0,0,0.16,0
Leshrek#21662,2816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0
QuietOrQuit#1223,4004,15120,0,0,0,0,23,0,25,21,29,0,9,2,2,0,0,0,0,3,2,1,0,0,0,7,91,6,0,0,4,0,1260,0,0,0.36,0.03
