battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deadeye_kills,deaths,defensive_assists,eliminations,environmental_kills,fan_the_hammer_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
TheMack#21461,2419,7554,865,0,0.09,9,0,11,0,12,0,1,7,0,0,0,0,0,6564,1,1,0,0,0,0,0,8,0,0,0,2,0,420,157,0,0.38,0.08
ChiruNya#1797,2145,775,293,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,483,1,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0.17,0
MLGPRO1234#1332,2441,316166,64816,3,0.04,229,100,356,0,664,0,138,366,11,27,0,16,0,228683,66,24,16,27,7,9,282,2004,0,0,0,82,0,18000,2206,10,0.49,0.59
Rabbit#1845,1610,3282,0,0,0.06,3,2,2,0,8,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,3,32,0,0,0,3,0,240,0,0,0.47,0
Gagooga#2280,3073,3669,878,0,0.07,3,1,3,0,6,0,1,5,0,0,0,0,0,2790,1,0,1,0,0,0,4,27,0,1,0,2,0,180,67,0,0.42,0
TheLegend27#22709,2272,2955,210,0,0.05,2,3,4,0,11,0,2,6,0,0,0,0,0,2745,1,0,0,0,0,1,5,10,0,0,0,2,0,120,58,0,0.37,1.0
PatchyPanda#2487,2926,8670,1842,0,0.03,3,2,5,0,19,0,2,7,0,0,0,0,0,6827,1,1,0,0,0,0,8,29,0,0,0,1,0,420,50,0,0.33,0.99
BmorE#1370,2512,67776,11683,1,0.08,67,25,71,0,156,0,28,92,3,5,0,3,0,55476,15,6,4,5,0,1,51,225,0,0,0,25,0,3600,708,0,0.44,0.49
RaMeNoodLeS#1520,1879,530856,148950,6,0.09,552,161,404,0,904,0,7,501,26,46,2,19,0,377856,102,37,27,38,0,5,368,1910,0,0,1,118,0,28800,2116,15,0.4,0.42
Awkward#11489,2353,2200,630,0,0.05,2,0,2,0,3,0,2,2,0,0,0,0,0,1570,0,0,0,0,0,0,1,9,0,0,0,1,0,60,0,0,0.45,1.0
Squidknee#1190,2429,2647,173,0,0.15,6,0,3,0,2,0,0,1,0,0,0,0,0,2474,1,0,0,0,0,0,0,0,0,0,0,1,0,120,0,0,0.4,0
Yoshi#41333,1936,83073,16994,0,0.07,79,11,105,0,177,0,60,110,3,8,0,5,0,64638,20,10,2,8,4,0,46,295,0,0,0,34,0,3600,583,1,0.52,0.58
Oatmeal#11747,1951,17921,2928,0,0.11,22,6,17,0,43,0,6,23,1,2,0,1,0,14544,5,2,1,1,2,0,16,83,0,1,0,10,0,1080,171,1,0.33,0.74
Harber#21879,2342,28032,7452,0,0.07,22,1,32,0,52,0,11,21,2,3,0,1,0,19556,4,1,1,2,1,1,22,223,0,1,0,3,0,2040,31,3,0.39,0.4
DJARAB#2380,3417,22393,5705,0,0.05,14,3,17,0,39,0,9,17,1,1,0,1,0,16618,4,2,0,2,1,0,14,114,0,0,0,1,0,1200,37,0,0.41,0.58
GoofyGoober#21887,3136,31618,8424,0,0.1,33,11,40,0,64,0,7,31,3,3,0,1,0,23168,6,3,1,3,0,0,28,166,0,0,0,3,0,2280,66,0,0.31,0.16
marcopixel#2368,2559,7791,0,0,0.04,4,0,8,0,8,0,2,4,1,1,0,0,0,0,2,1,1,0,0,0,5,39,0,0,0,0,0,420,0,0,0.42,0
Hville#2822,3897,165,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.1,0
sonnypat3#1412,3479,306749,61842,1,0.1,336,92,280,0,609,0,57,388,12,24,0,12,0,242201,66,20,19,27,7,8,246,1234,0,0,1,80,0,14400,2062,4,0.45,0.49
TheCalvery#1356,2126,2936,1642,0,0.05,1,0,7,0,6,0,0,5,0,0,0,0,0,1293,0,0,0,0,0,0,3,44,0,0,0,1,0,300,0,0,0.18,0
Rob#13497,2358,79754,14583,3,0.08,79,28,69,0,160,0,2,89,3,6,0,4,0,64570,22,9,6,7,0,1,88,626,0,0,0,13,0,3600,635,0,0.49,0.59
CrazYeFaZe#2168,2218,32023,7132,1,0.07,24,13,23,0,76,0,2,50,1,2,0,1,0,24840,6,2,1,3,0,2,25,98,0,0,0,13,0,1860,386,0,0.48,0.48
Elttiks#1195,3548,3533,1738,0,0.09,2,1,2,0,3,0,1,1,0,0,0,0,0,1792,0,0,0,0,0,0,1,0,0,0,0,0,0,180,0,0,0.2,1.0
Eliptic#1332,3696,886199,195932,33,0.11,1146,203,776,0,1583,0,238,1003,37,64,1,25,0,683190,149,35,79,35,8,6,492,1868,0,0,0,205,0,39600,7632,20,0.47,0.39
Ninjacake#2254,2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.0
Pearl#11175,2646,34585,6356,2,0.1,43,10,17,0,70,0,4,47,0,2,0,2,0,27913,5,2,3,0,1,1,31,76,0,0,0,11,0,1560,415,2,0.47,0.95
Sherpa#11465,3000,1667,0,0,0.07,2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,0,0,0.44,0
Dalgur#2334,3045,58556,13999,1,0.07,50,15,42,0,120,0,10,60,0,5,0,5,0,43835,16,3,6,6,1,0,64,458,0,0,0,7,0,2880,440,1,0.44,0.93
MamaRobo#2334,2878,5082,354,0,0.07,5,0,8,0,5,0,0,2,0,1,0,0,0,1954,1,1,0,0,0,0,1,13,0,0,0,1,0,360,0,0,0.42,0.2
OrangeZigZag#1319,1908,19976,7717,0,0.03,10,3,21,0,39,0,3,21,2,2,0,1,0,12119,5,1,2,2,0,0,10,54,0,0,0,6,0,1140,66,2,0.47,0.34
SamuraiSan#11818,1824,31518,5376,1,0.08,34,12,39,0,75,0,8,50,3,3,0,1,0,25812,7,2,3,2,0,1,32,91,0,0,0,15,0,2400,293,0,0.27,0.25
GeorgeWLit#1780,2501,560400,117462,15,0.05,356,139,398,0,1171,0,325,706,21,48,2,25,0,437204,119,41,38,40,4,4,384,1884,0,0,1,161,1,28800,3855,31,0.51,0.53
Kira#2516,2513,2076,594,0,0.04,1,0,4,0,2,0,0,2,0,0,0,0,0,1482,1,0,0,0,0,0,1,10,0,0,0,0,0,180,0,0,0.43,1.0
umpfsuper#2680,2097,7969,2686,0,0.06,5,1,14,0,9,0,2,6,1,1,0,0,0,5283,4,1,1,2,0,0,5,42,0,0,0,2,0,600,0,0,0.3,0
Snubnose#11389,2191,64411,13285,2,0.05,42,24,53,0,144,0,24,84,2,7,0,5,0,49396,15,4,4,6,1,3,49,301,0,1,0,14,0,3600,349,4,0.42,0.75
FourWinged#2235,2288,6674,105,0,0.07,7,3,8,0,21,0,4,17,1,1,0,0,0,6407,3,0,2,1,0,0,13,54,0,0,0,1,0,480,159,0,0.43,0
kaz#12190,3210,3197,350,0,0.12,4,2,3,0,10,0,1,3,0,0,0,0,0,2847,1,1,0,0,0,0,3,5,0,0,0,0,0,180,28,0,0.4,1.0
Krakatoa#11407,1690,18181,5335,0,0.03,8,3,16,0,31,0,5,15,1,1,0,0,0,12846,2,1,1,1,0,0,13,48,0,0,0,2,0,900,46,0,0.41,0
TheRedGuy23#1915,2476,48798,15674,1,0.1,48,10,46,0,83,0,2,62,1,4,0,3,0,32675,14,3,3,7,0,0,34,262,0,0,0,19,0,2700,211,0,0.38,0.73
kily18#2341,2481,37030,4484,0,0.08,40,15,25,0,81,0,11,55,0,2,0,2,0,32041,8,2,5,1,0,1,30,74,0,0,0,9,0,1740,430,0,0.55,0.93
Pwnstar#1881,2502,224587,39744,1,0.08,230,70,259,0,433,0,49,268,8,20,1,11,0,183487,46,19,12,14,2,5,168,742,0,0,0,80,0,14400,1356,0,0.44,0.58
Blade#3815,2615,239510,50364,0,0.07,198,77,256,0,484,0,11,283,14,22,0,8,0,187010,42,17,11,14,4,3,154,776,0,0,0,70,1,14400,1291,1,0.34,0.34
Barkin#1559,3316,28699,7010,0,0.11,33,4,29,0,25,0,1,11,1,2,0,0,0,21475,4,1,0,3,0,0,13,127,0,0,0,4,0,1500,0,0,0.42,0.24
Tvirus#2918,3000,33087,0,1,0.05,26,12,16,0,56,0,2,28,1,2,0,1,0,0,8,2,4,2,0,1,19,97,0,0,0,4,0,1260,265,0,0.54,0.55
Hahaurdead01#1884,3128,25620,7428,0,0.07,22,6,38,0,40,0,4,24,2,2,0,0,0,17717,4,1,1,2,0,0,14,62,0,0,0,4,0,1800,65,0,0.35,0.14
Kamisurugi#1374,2798,7123,2013,0,0.06,5,1,8,0,13,0,1,9,1,1,0,0,0,5107,4,1,1,1,1,0,6,33,0,0,0,0,0,480,19,2,0.39,0.19
PConvictions#2399,2555,1085,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.58,1.0
Joebebs#1356,2643,8354,2183,0,0.06,6,1,10,0,10,0,3,3,0,0,0,0,0,6170,2,0,0,1,0,0,4,13,0,0,0,0,0,480,24,0,0.45,0
Ternato#2321,2723,1845,628,0,0.05,1,0,4,0,1,0,0,0,0,0,0,0,0,1217,0,0,0,0,0,0,0,1,0,0,0,0,0,120,0,0,0.38,1.0
TheOnlyJuan#11339,3630,47461,17910,0,0.07,33,9,41,0,76,0,8,38,2,3,0,1,0,29125,7,3,3,2,2,0,35,209,0,0,0,4,0,2400,92,1,0.38,0.4
