battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_reflected,deaths,defensive_assists,dragonblade_kills,dragonblades,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Eszveszto#2883,2171,223976,0,2,0.07,401,32790,240,0,73,79,418,0,205,10,18,1,7,0,0,59,19,18,21,5,5,179,1751,0,0,0,0,49,1,14400,761,37,0.32,0.4
Fanolio#1163,2811,6284,2169,0,0.07,7,1506,3,0,2,2,9,0,5,0,0,0,0,0,3827,1,1,0,0,0,0,7,114,0,0,0,0,0,0,300,0,0,0.32,1.0
Bob#1273,2572,5756,1831,0,0.09,7,347,7,0,4,2,15,0,7,1,1,0,0,0,3925,2,2,1,0,0,0,6,74,0,0,0,0,1,0,420,38,0,0.19,0
Sh1r#2808,3546,34780,10099,0,0.12,52,7878,49,0,14,16,86,0,30,2,3,0,1,0,24564,5,3,0,2,1,1,32,252,0,0,0,0,5,0,2520,52,1,0.16,0.34
cat#22607,1504,6899,1783,0,0.07,15,1013,11,0,2,3,9,0,7,1,1,0,0,0,5077,2,1,0,1,0,0,4,25,0,0,0,0,2,0,780,0,1,0.21,0.21
Skips#11320,2885,72053,15086,0,0.1,116,12251,68,0,38,31,156,0,85,4,6,0,2,0,55539,14,4,4,5,3,2,48,415,0,1,0,0,14,2,3600,472,6,0.31,0.4
UglyWeeaboo#1706,1996,1552,336,0,0.14,4,463,1,0,0,0,1,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,1,12,0,0,0,0,0,0,60,0,0,0.3,0.18
Teezi#21399,2983,10152,1487,0,0.14,26,3075,20,0,3,5,32,0,19,0,1,0,1,0,8664,2,0,1,1,1,0,12,81,0,1,0,0,1,0,1080,5,1,0.27,0.84
Johnson#2533,2463,3473,1545,0,0.04,2,597,5,0,0,0,2,0,1,0,0,0,0,0,1564,1,0,0,1,0,0,0,23,0,0,0,0,0,0,240,56,0,0.26,0.29
Wind#12668,3043,41797,0,1,0.11,83,7542,28,0,25,18,96,0,56,1,3,0,2,0,0,7,3,3,2,4,0,27,245,0,0,0,0,18,0,2340,572,1,0.33,0.81
Aveliann#1895,3529,22569,0,1,0.13,53,2729,10,0,11,9,43,0,26,0,1,0,1,0,0,4,0,3,0,2,1,17,81,0,0,0,0,7,0,840,196,0,0.4,1.0
GAYDAD69#11315,3000,13362,450,1,0.15,39,3916,8,0,8,5,40,0,22,0,1,0,1,0,12249,4,1,2,1,1,2,15,22,0,0,0,0,6,0,720,200,2,0.39,1.0
S76MAINBTW#1215,3585,561519,112315,22,0.08,975,117203,496,0,271,243,1326,0,715,24,52,1,27,0,440791,156,58,63,35,32,23,463,3174,0,0,0,2,136,1,32400,5645,21,0.33,0.53
SmarticalCat#1781,2126,9631,3041,0,0.06,10,3172,8,0,3,4,15,0,9,1,1,0,0,0,6589,2,1,1,0,1,0,2,59,0,1,0,0,3,0,540,0,0,0.33,0
Tripp#11823,2860,135131,27200,3,0.09,220,37142,127,0,66,52,320,0,166,4,15,1,10,0,104795,42,15,11,16,10,1,119,998,0,0,0,0,30,1,7200,795,12,0.27,0.68
