battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,dragonstrike_kills,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scatter_arrow_kills,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Gentle#21294,3134,1948,367,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1581,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,120,0,0,0.48,0
headhunter#2378,2209,14821,10340,0,0.09,5,13,0,1,13,0,7,1,1,0,0,0,4332,1,1,0,0,0,0,8,101,0,0,7,4,0,2,0,600,0,0,0.13,0.04
ShimadaBros#2698,2979,2362,375,0,0.04,1,3,0,1,7,0,5,0,0,0,0,0,1987,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,180,0,0,0.2,0.89
Jonny#2441,3365,153835,0,6,0.06,93,95,0,38,298,0,201,5,10,0,5,0,0,28,5,18,5,6,1,86,277,0,0,0,96,0,59,0,7200,1630,13,0.31,0.52
Sparx#11898,1815,45012,9372,0,0.06,20,30,0,18,81,0,54,1,4,0,3,0,35115,10,3,4,3,0,2,22,94,0,0,22,22,0,13,1,2220,275,4,0.25,0.72
jewC69#1239,2634,12269,5230,0,0.05,4,12,0,1,7,0,4,1,1,1,0,0,5511,3,1,1,1,0,0,1,17,0,0,3,3,0,3,0,660,0,2,0.24,0.13
ComradeKim#1743,3046,17448,1985,0,0.07,13,9,0,4,36,0,27,0,1,0,1,0,14966,4,1,2,1,0,0,8,70,0,0,10,12,0,9,0,720,244,0,0.32,1.0
MAT#22381,3000,3720,1125,0,0.03,1,8,0,2,2,0,1,1,1,0,0,0,2430,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,360,0,0,0.23,0
Flare#3504,2296,5875,768,0,0.08,4,5,0,0,3,0,2,0,0,0,0,0,3843,1,0,0,0,0,0,1,71,0,0,0,2,0,0,0,420,0,3,0.19,0
Haloskyangel#2896,2556,2284,415,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0.26,0.1
FeelsNAMan#1163,3001,9174,3785,0,0.11,5,5,0,2,2,0,0,0,0,0,0,0,5388,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,240,0,0,0.33,0.58
Kayuun#1837,4336,4927,1217,0,0.09,3,4,0,1,11,0,8,0,0,0,0,0,3684,1,0,0,0,0,0,2,9,0,0,3,5,0,2,0,300,0,0,0.19,0.99
Ares#4847,2122,23815,0,0,0.04,10,27,0,4,38,0,15,2,2,0,0,0,0,3,1,2,1,1,0,14,76,0,0,0,8,0,2,0,1440,68,0,0.2,0.04
Vepedeus#2217,1618,44499,4777,1,0.05,21,49,0,22,99,0,79,5,5,0,1,0,39531,11,2,5,4,1,1,23,63,0,0,24,38,0,30,0,3000,224,1,0.21,0.12
bomboclat#21404,1943,842508,205655,12,0.06,519,890,0,217,1519,0,1015,43,73,3,26,0,624588,136,51,41,43,31,17,522,2857,0,0,292,446,0,304,0,50400,4270,48,0.21,0.37
TSunshine#2414,2528,79020,0,0,0.05,36,63,0,26,133,0,62,7,8,0,1,0,0,22,11,3,8,1,1,55,498,0,0,0,46,0,11,0,3600,476,2,0.24,0.11
General#11374,2770,79959,21240,1,0.06,41,70,0,21,140,0,90,3,7,0,4,0,57532,22,7,7,8,0,1,52,551,0,0,28,40,0,16,0,3600,663,4,0.24,0.57
Keryja#2940,2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.0
Gami#21727,2894,3015,1210,0,0,0,2,0,0,4,0,1,0,0,0,0,0,1805,1,0,0,0,0,0,0,1,0,0,4,2,0,1,0,120,0,0,0.19,1.0
DinoKing5#1453,1696,214,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.15,0
Minky#2723,2375,70220,19166,0,0.05,22,54,0,22,93,0,60,3,6,0,2,0,50702,13,6,3,4,0,1,43,213,0,0,23,27,0,9,0,3600,258,0,0.19,0.36
Bubble#22189,2534,13094,2248,0,0.07,7,10,0,5,29,0,16,0,1,0,1,0,10845,4,2,1,1,1,0,16,32,0,0,10,11,0,4,0,780,86,0,0.18,0.66
OnPayloadPls#2272,1807,22681,4338,0,0.05,9,16,0,3,35,0,16,1,3,1,1,0,18079,4,0,2,2,0,1,19,59,0,0,13,9,0,3,0,1500,105,0,0.21,0.52
BlueAura#6147,2783,8100,1876,0,0.11,7,7,0,1,12,0,6,1,1,0,0,0,6224,1,0,0,1,0,0,4,10,0,0,5,4,0,3,0,600,19,0,0.17,0
MagicTurtle#123680,2355,489,250,0,0,0,2,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,60,0,0,0.11,0
criminalzero#11701,2441,520469,140173,13,0.06,245,377,0,141,882,0,598,15,37,0,21,0,373995,87,23,32,31,8,9,367,2011,0,0,301,336,0,146,0,25200,5165,19,0.27,0.57
Nine#1805,2151,10081,4174,0,0.07,5,13,0,1,12,0,9,1,1,0,0,0,5904,4,1,1,3,0,0,3,7,0,0,6,4,0,1,0,720,0,3,0.18,0.25
Hoboson#11728,2131,3481,1852,0,0,0,3,0,0,4,0,2,0,0,0,0,0,1629,1,1,0,0,0,0,1,20,0,0,0,2,0,0,0,180,0,0,0.21,0
Elmz#21620,2277,1294,484,0,0,0,1,0,0,3,0,3,0,0,0,0,0,809,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,60,0,0,0.18,0
MasterTyllon#1587,1687,195156,43697,1,0.07,105,188,0,62,375,0,266,12,19,1,6,0,149473,38,12,15,12,3,4,142,838,0,0,80,113,0,79,0,10800,2011,3,0.23,0.31
Turtle#13690,2408,12072,2917,0,0.09,8,16,0,0,13,0,9,2,2,0,0,0,9059,5,3,0,2,0,0,3,74,0,1,0,3,0,3,0,900,0,0,0.25,0.09
Lumage#2950,2395,63232,18741,1,0.05,23,50,0,21,89,0,51,3,4,1,1,0,43744,11,3,1,6,0,1,35,66,0,0,19,29,0,12,0,3120,237,0,0.25,0.34
Oathbraker#21411,1950,2310,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,2271,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,180,0,0,0.22,0
Lux#12988,2767,1420,452,0,0.1,1,1,0,0,1,0,0,0,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0.58,0
Magnitude#2340,2051,436415,113479,5,0.07,245,288,0,109,698,0,482,20,33,1,12,0,315964,76,22,23,30,0,7,229,1424,0,0,248,235,0,162,0,21600,2562,38,0.21,0.36
Hand0olz#1513,2583,500,125,0,0.14,1,1,0,0,1,0,1,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0.53,0
Hello#3250,2001,312228,78634,4,0.07,151,263,0,80,532,0,366,22,36,0,14,0,228485,66,14,20,31,7,5,195,1493,0,0,174,182,0,99,0,18000,1384,17,0.16,0.38
Albed#2208,2382,38260,9968,0,0.04,12,42,0,9,76,0,51,2,3,0,2,0,28039,8,4,2,3,0,1,25,25,0,0,29,23,0,15,0,2400,388,0,0.25,0.5
Nightville#2767,2950,56767,19143,0,0.04,17,46,0,16,87,0,54,3,4,0,1,0,36271,8,5,2,2,0,3,36,450,0,0,37,36,0,16,0,3120,466,3,0.2,0.14
viper#13327,2791,172105,42241,2,0.06,85,119,0,41,258,0,168,7,11,0,4,0,127082,27,8,12,8,4,2,105,645,0,0,89,108,0,38,0,7200,786,4,0.25,0.34
legend#13529,2050,5083,0,0,0.1,4,8,0,3,14,0,8,0,1,0,0,0,0,1,0,0,0,0,0,5,20,0,0,0,5,0,3,0,360,64,0,0.17,0.16
Zenith#2844,2298,243056,58500,4,0.06,127,156,0,77,411,0,258,10,18,0,8,0,178490,42,12,22,9,2,6,156,651,0,0,129,130,0,63,1,10800,1912,20,0.19,0.43
KevinBxR#1869,2480,380341,81747,4,0.05,196,266,0,101,594,0,404,10,24,1,14,0,223771,45,12,14,19,2,2,243,732,0,0,127,180,0,98,0,18000,1844,16,0.29,0.57
xFudo#1543,2269,5549,570,0,0.04,2,2,0,1,10,0,3,0,1,0,0,0,2818,2,1,0,0,0,0,3,0,0,0,3,4,0,0,0,360,0,0,0.21,0.47
Chroma#21443,2656,11473,2833,0,0.12,9,6,0,3,19,0,12,1,1,0,0,0,8494,3,2,1,0,0,0,7,97,0,1,4,4,0,5,0,540,0,0,0.23,0
Kecleon#11915,2749,46014,5545,2,0.08,34,21,0,11,78,0,60,0,2,0,2,0,37684,6,1,4,1,0,0,40,234,0,0,18,28,0,20,0,1800,665,0,0.32,1.0
Dojjan#2951,2551,1869,867,0,0.11,1,2,0,0,2,0,1,0,0,0,0,0,1002,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,60,0,0,0.29,0
DrDMento#1870,1247,961,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,960,0,0,0,0,0,0,1,16,0,0,2,1,0,0,0,180,0,1,0.08,0
Dwich82#2239,1919,2736,1058,0,0.23,4,2,0,1,5,0,4,0,0,0,0,0,1679,0,0,0,0,0,0,2,25,0,0,2,3,0,4,0,120,0,0,0.19,1.0
HotDog#41634,3469,685,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,60,52,0,0.22,1.0
