battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_blocked,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,players_teleported,primary_fire_accuracy,quick_melee_accuracy,sentry_turret_kills,shield_generator_uptime,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,teleporter_uptime,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Kurazakura#11980,2014,8982,895,0,0,0,4265,10,0,21,0,11,1,1,0,0,0,7688,2,1,1,1,0,0,9,34,0,17,0,0,1,0,0,0,0,228,600,101,0,0,0
MrMusic#2985,2885,1634,245,0,0,0,496,1,0,4,0,1,0,0,0,0,0,1379,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,60,0,0,0,0
koperkuba#2889,2172,4026,106,0,0,0,410,6,0,13,0,6,1,1,0,0,0,3874,3,1,1,1,0,1,11,21,0,6,0,0,12,30,0,1,0,81,540,0,0,0,0
aRis#12655,2789,415,250,0,0,0,514,2,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Squasew#2435,3551,379329,85837,7,0,0,136235,280,0,813,0,344,12,34,3,20,0,286088,79,23,23,33,1,3,286,1024,0,274,1,0,421,5718,0,81,0,4736,21600,1504,6,0,0.63
Shidounier#2783,1670,3169,746,0,0,0,62,3,0,9,0,3,1,1,0,0,0,2422,2,1,1,0,0,0,1,4,0,3,1,0,7,0,0,0,0,61,240,0,0,0,0
Nozjosh#1341,1673,58,58,0,0,0,650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
Tassadar#1630,2284,65021,11863,3,0,0,19108,55,0,161,0,64,3,8,1,4,0,52137,24,9,3,12,0,3,72,259,0,103,1,0,107,531,0,13,0,1350,3600,305,0,0,0.6
BlackIron#11796,3056,21294,4342,0,0,0,8362,22,0,34,0,9,1,2,0,1,0,16829,4,1,1,2,0,0,7,48,0,29,1,0,27,0,0,0,0,318,1380,42,0,0,0.42
BEAST#13167,3000,5823,2271,0,0,0,2706,3,0,14,0,5,0,1,0,1,0,3553,2,0,0,2,0,0,4,22,0,3,0,0,8,0,0,0,0,181,360,0,0,0,1.0
diepndots#11513,3359,30327,8139,0,0,0,6629,23,0,82,0,39,1,3,0,2,0,21944,8,1,4,4,0,2,35,186,0,10,1,0,33,937,0,7,0,157,2220,107,2,0,0.81
Orcea#2838,3237,2411,349,0,0,0,815,4,0,10,0,3,0,0,0,0,0,2061,1,0,0,0,0,0,10,28,0,0,0,0,6,0,0,0,0,19,300,0,0,0,0.42
Ravenor#21462,2040,4042,1889,0,0,0,1625,4,0,11,0,3,0,0,0,0,0,2152,0,0,0,0,0,0,6,30,0,6,0,0,5,0,0,0,0,90,300,0,0,0,1.0
Ollisean#1309,2491,522,90,0,0,0,70,2,0,1,0,1,0,0,0,0,0,432,0,0,0,0,0,0,1,16,0,0,0,0,1,0,0,0,0,0,60,0,0,0,0
Alex#239652,2153,3241,488,0,0,0,975,2,0,9,0,3,0,1,0,0,0,2753,1,1,0,0,0,0,2,2,0,5,0,0,5,0,0,1,0,66,300,0,0,0,0.69
TwoSidedTree#2721,2766,5416,608,1,0,0,776,5,0,20,0,10,0,0,0,0,0,4808,1,0,0,1,0,0,8,6,0,4,1,0,11,38,0,2,0,65,360,86,0,0,1.0
RegulusTTK#1199,2297,8559,944,0,0,0,2636,9,0,28,0,10,0,1,0,0,0,7588,2,1,0,1,0,1,16,42,0,6,1,0,16,74,0,2,0,171,540,81,0,0,0.55
DefPotato#2676,3328,12178,2175,0,0,0,5634,14,0,48,0,12,0,1,0,1,0,9663,4,0,1,2,0,0,9,8,0,10,1,0,34,0,0,4,0,512,1020,68,1,0,0.81
GrafKjaeel#2964,1337,17683,4325,3,0,0,17046,15,0,63,0,26,0,3,0,3,0,12831,12,7,1,5,0,0,30,116,0,18,1,0,47,20,0,6,0,498,1500,28,0,0,0.93
Shiva#2980,2407,1371,146,0,0,0,0,4,0,5,0,1,0,0,0,0,0,1225,0,0,0,0,0,0,2,4,0,0,0,0,5,54,0,0,0,0,180,0,0,0,1.0
YourPalJack#11946,2244,1805,72,0,0,0,460,3,0,3,0,1,0,0,0,0,0,1732,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,79,120,0,0,0,0
Wdx2#1108,2890,4624,680,0,0,0,2442,7,0,15,0,8,0,0,0,0,0,3944,0,0,0,0,0,0,9,131,0,6,1,0,5,179,0,2,0,64,420,7,0,0,1.0
moan#11918,2840,3476,573,0,0,0,915,6,0,14,0,4,0,0,0,0,0,2803,1,1,0,0,0,1,3,10,0,11,1,0,10,0,0,2,0,131,300,0,0,0,1.0
Teckz#2500,57,5930,0,0,0,0,0,8,0,9,0,5,0,1,0,0,0,0,2,1,1,0,0,0,2,10,0,11,0,0,3,0,0,2,0,168,600,0,0,0,0.23
Snowaaa#2747,2620,1517,0,0,0,0,520,2,0,3,0,1,0,0,0,0,0,1431,1,0,0,1,0,0,0,2,0,5,1,0,1,0,0,0,0,35,60,0,0,0,0
Makkendam#2241,2604,2493,7,0,0,0,379,2,0,8,0,4,0,0,0,0,0,2486,1,1,0,0,0,0,2,13,0,1,0,0,0,0,0,1,0,35,180,43,0,0,0
Miro#31790,2310,1100,220,0,0,0,126,2,0,2,0,0,0,0,0,0,0,879,0,0,0,0,0,0,0,16,0,2,0,0,1,0,0,0,0,38,120,0,0,0,1.0
Neil#12773,2394,3835,1258,0,0,0,505,5,0,4,0,2,0,0,0,0,0,2577,1,1,0,0,0,0,1,28,0,8,1,0,1,0,0,0,0,105,240,0,0,0,1.0
Leeno#11889,2453,775,135,0,0,0,12,2,0,2,0,1,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,60,0,0,0,0
Rictus#2885,2774,32943,6209,0,0,0,3612,30,0,78,0,41,2,3,0,1,0,26690,9,3,3,3,1,0,27,75,0,26,0,0,41,0,0,4,0,231,2400,18,0,0,0.28
cet0#2966,2220,75,0,0,0,0,156,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0
Cyntil#1479,2555,1344,0,0,0,0,215,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0
Sangroku#21148,2964,688,54,0,0,0,193,1,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,59,0,0,0,1.0
ahnmac#11956,3314,975,8,0,0,0,345,6,0,5,0,2,0,1,0,1,0,968,1,0,0,0,0,0,3,3,0,6,0,0,4,0,0,1,0,69,300,0,0,0,1.0
JyotBoat#1461,2471,17730,4546,0,0,0,6412,10,0,36,0,15,2,3,0,2,0,13006,8,1,3,4,0,0,13,75,0,23,1,0,21,0,0,6,0,624,1200,40,0,0,0.54
SneakyTurtle#120195,3558,1032,251,0,0,0,118,1,0,1,0,1,0,0,0,0,0,781,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,52,0,0,0,0
ChickenWing#12473,2930,52464,9957,2,0,0,7350,37,0,123,0,68,2,5,0,3,0,42191,13,2,5,6,0,2,58,237,0,56,1,0,45,185,0,15,0,1010,3120,718,0,0,0.64
Sylvananas#2868,2925,4957,947,0,0,0,833,6,0,11,0,2,0,1,0,1,0,4010,1,0,0,1,0,0,4,13,0,5,1,0,10,0,0,0,0,125,600,0,0,0,0.7
poison#11208,1737,4609,619,0,0,0,1428,6,0,2,0,2,1,1,0,0,0,3890,2,2,0,0,0,0,0,4,0,6,1,0,1,0,0,1,0,31,300,0,0,0,0.05
ShadowDragon#236725,1938,2796,703,0,0,0,178,5,0,3,0,0,0,0,0,0,0,2093,1,0,0,0,0,0,2,11,0,6,0,0,1,0,0,0,0,34,120,0,0,0,0
Jets007#2955,3023,133624,31420,4,0,0,38510,109,0,265,0,113,3,17,1,12,0,100677,55,15,15,25,1,3,101,345,0,198,1,1,146,361,0,24,0,3282,7200,420,1,0,0.78
Pubert#11730,2250,6187,1052,0,0,0,2363,8,0,14,0,4,0,0,0,0,0,5131,0,0,0,0,0,0,6,23,0,6,0,0,6,0,0,1,0,57,480,19,0,0,0
Colicho#2507,2459,2384,728,0,0,0,462,2,0,6,0,0,0,0,0,0,0,1655,0,0,0,0,0,0,0,3,0,6,1,0,5,0,0,0,0,74,120,0,0,0,0
MightyOwl#115554,2566,2025,45,0,0,0,126,2,0,9,0,4,0,0,0,0,0,1979,1,0,0,0,0,0,2,5,0,2,1,0,2,0,0,0,0,67,240,0,0,0,1.0
ImDad#1811,2255,33362,3293,1,0,0,12104,30,0,119,0,55,1,5,1,3,0,29454,12,4,3,5,0,3,46,81,0,39,1,0,81,322,0,13,0,815,2820,507,0,0,0.68
Acelgof#2463,2060,3182,0,0,0,0,90,4,0,10,0,7,0,0,0,0,0,0,2,0,1,0,0,0,5,20,0,4,0,0,8,0,0,5,0,52,180,164,0,0,0
Caalador#1652,2672,28675,6304,0,0,0,4736,34,0,77,0,42,2,3,1,1,0,22293,9,3,3,3,0,4,31,102,0,4,1,0,44,682,0,10,0,155,2220,237,0,0,0.33
SilverHawk#132649,2581,1403,331,0,0,0,200,3,0,3,0,1,0,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
theFastener#1500,2127,110453,18346,8,0,0,41761,119,0,352,0,123,5,17,1,11,0,89770,32,17,7,9,0,1,144,714,0,136,1,0,278,1120,0,24,0,2555,7200,319,1,0,0.68
YuKsS#1440,1382,1085,15,0,0,0,366,3,0,4,0,1,0,0,0,0,0,1039,0,0,0,0,0,0,3,25,0,1,1,0,2,0,0,1,0,32,120,0,0,0,1.0
GodOfScrubs#1718,2406,8391,1079,0,0,0,1199,3,0,24,0,12,0,1,1,0,0,7259,1,1,0,1,0,0,11,31,0,10,1,0,11,0,0,3,0,262,480,42,0,0,0.99
Rec#21620,783,26432,359,0,0,0,490,41,0,108,0,52,2,5,0,2,0,7618,8,4,1,3,0,0,43,200,0,43,0,0,53,0,0,17,0,731,2760,282,0,0,0.52
Dukili#2837,2305,9885,1527,0,0,0,1599,8,0,26,0,9,1,1,0,1,0,8322,4,1,2,1,0,0,7,37,0,10,1,0,15,0,0,0,0,400,720,0,0,0,0.48
Jaystei#1706,1800,518,66,0,0,0,167,1,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0
Horayon#2675,2863,3228,831,0,0,0,175,2,0,7,0,4,0,0,0,0,0,2385,1,0,0,0,0,0,2,12,0,6,0,0,6,0,0,0,0,48,120,38,0,0,1.0
Illuminati#12912,1493,25857,5276,1,0,0,10049,28,0,83,0,44,2,3,0,2,0,20450,6,2,1,3,0,1,41,145,0,26,1,0,29,144,0,9,0,560,2100,222,0,0,0.49
Griss#1270,2688,598,171,0,0,0,181,1,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0
lotsofoctopi#1570,2138,3460,931,0,0,0,1265,4,0,12,0,5,0,1,0,1,0,2529,1,0,0,1,0,0,4,7,0,6,1,0,7,0,0,1,0,144,240,0,0,0,1.0
wildon#2521,2539,3592,171,0,0,0,735,4,0,9,0,3,0,0,0,0,0,3422,1,0,0,1,0,0,5,8,0,7,1,0,5,0,0,0,0,66,240,38,0,0,0
