battletag,SR,ability_damage_done,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,meteor_strike_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,shields_created,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
zoidberg123#21681,2878,98.89,595,0,0,0,0,0,0,2,0,2,0,0,0,0,0,595,0,0,0,0,0,0,0,0,3,0,1,0,60,0,0,35,0,0,0.25,1.0
TheSlinger#11919,2243,1625,3227,791,0,0,0,4,0,7,0,2,0,0,0,0,0,2436,0,0,0,0,0,0,0,5,62,0,0,0,600,1,0,240,0,0,0.25,1.0
SymmGod#1831,2273,5486.63,9523,1109,0,0,0,15,0,16,0,11,2,2,0,0,0,8341,6,1,4,1,0,2,0,6,73,0,1,0,1530,4,0,840,0,1,0.31,0.15
AlayKeru#4810,3851,11225.73,20167,555,0,0,0,37,0,44,0,30,2,2,0,1,0,18839,5,2,1,2,1,6,1,23,114,0,0,0,4366,5,0,1560,285,0,0.41,0.27
HiddenSquid#1610,2673,236.94,292,0,0,0,0,2,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,60,0,0,0.08,0
rofldogs#1195,2910,135.87,299,70,0,0,0,2,0,0,0,0,0,0,0,0,0,230,1,0,0,0,0,0,0,0,7,0,0,0,60,0,0,60,0,0,0.12,0
Pride#12153,3040,299.98,318,0,0,0,0,3,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,8,0,0,0,120,0,0,60,0,0,0.07,0.35
ScoHyrule#1229,1213,200,248,0,0,0,0,3,0,2,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,3,0,0,0,60,0,0,180,0,0,0.02,0.29
Fabi#22617,3371,7544.3,11858,613,0,0,0,25,0,29,1,16,1,2,0,1,0,11184,6,3,1,2,0,1,0,9,52,0,0,0,2820,3,0,1200,57,0,0.36,0.42
aleifrpl#2487,2642,0,48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,0,0,0.16,0
Mcfee#2120,2182,145,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,5,0,0,0,60,0,0,38,0,0,0.03,0
John#111618,1957,2240.78,5283,1733,0,0,0,9,0,8,0,5,0,0,0,0,0,3550,0,0,0,0,0,1,0,0,21,0,0,0,870,3,0,360,0,0,0.23,0.02
Dobby#11158,2885,4882.96,9044,1184,0,0,0,9,0,28,1,16,0,1,0,1,0,7861,3,2,1,0,0,1,1,14,83,0,0,0,1970.78,4,0,600,15,0,0.33,0.68
ItsHighNoon#1656,2143,8528.98,17300,3023,0,0,0,23,0,39,0,23,1,2,0,1,0,14021,3,1,0,1,1,4,0,20,241,0,0,0,2715,5,0,1260,101,0,0.33,0.5
ZgrtJUICE#2827,2532,1878.32,2871,282,0,0,0,1,0,11,1,7,0,0,0,0,0,2589,0,0,0,0,0,1,0,1,10,0,0,0,495,3,0,180,38,0,0.21,0
Anbros#21198,2371,17128.24,30934,3814,0,0,0,36,0,68,0,45,3,4,0,1,0,25629,9,5,1,4,3,9,1,23,205,0,0,0,5770.27,18,1,2820,215,1,0.25,0.31
BoxOwl#2383,2021,74779.89,148022,30458,0,0,0,277,0,296,1,183,16,22,0,6,0,115895,22,13,2,7,2,46,0,80,949,0,0,0,29417.39,65,0,10800,210,12,0.25,0.28
NedeN#21138,2620,2286.62,3579,154,0,0,0,13,0,9,0,7,1,1,0,0,0,3425,3,1,0,2,0,2,0,2,45,0,0,0,840,5,0,540,0,0,0.28,0
Artifix#11247,2114,240,1173,594,0,0,0,2,0,0,0,0,0,0,0,0,0,579,1,0,0,0,0,0,0,0,1,0,0,0,30,0,0,60,0,0,0.36,0.4
ANDYandy#4443,2879,67863.68,118212,12179,1,0,0,153,0,302,3,176,5,12,0,7,0,105234,27,9,10,8,14,40,2,74,518,0,0,0,24569.37,52,0,7200,666,0,0.28,0.56
Bigweld#21658,2954,286.43,759,198,0,0,0,0,0,3,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,1,0,0,0,0,90,0,0,60,0,0,0.3,0
RitualMurder#11116,3233,742.31,1791,99,0,0,0,5,0,5,0,3,0,1,0,0,0,1692,0,0,0,0,0,0,0,2,16,0,0,0,270,0,0,240,0,0,0.27,0.56
Dellis#2730,2282,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,60,0,0,0,0
Mito#22489,3617,238.57,801,319,0,0,0,12,0,2,0,1,1,1,0,0,0,482,4,2,0,1,0,0,0,0,1,0,0,0,120,0,0,540,0,0,0.04,0
Such028#1556,1770,14493.94,24281,3059,0,0,0,32,0,69,0,51,1,3,0,2,0,19552,4,2,1,2,1,12,3,24,258,0,0,0,6144.07,12,0,1800,163,3,0.35,0.76
tm961#2409,1652,92.55,265,0,0,0,0,4,0,0,0,0,0,0,0,0,0,231,1,0,0,0,0,0,0,0,8,0,0,0,90,0,0,120,7,0,0.39,0
YuniorGX#1198,753,400,652,0,0,0,0,2,0,1,0,1,0,0,0,0,0,652,0,0,0,0,0,0,0,0,2,0,0,0,90,0,0,60,0,0,0.15,0
nobodykares#1621,4081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,1.0
asianator#1893,1801,186.19,666,395,0,0,0,0,0,3,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,1,3,0,0,0,90,0,0,31,0,0,0.13,1.0
Nurithilion#1221,2348,38562.49,67898,7883,0,0,0,152,0,149,3,90,7,10,1,2,0,58629,20,9,4,8,1,14,0,42,508,0,0,1,15111.78,22,1,3600,254,5,0.29,0.21
MLGMikee#2913,2534,0,120,0,0,0,0,1,0,1,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0.41,0
Rice#11550,2513,6641.66,12019,1362,1,0,0,13,0,34,0,20,0,1,0,1,0,10577,3,1,1,2,3,8,0,17,133,0,1,0,2445,6,0,780,301,0,0.34,0.88
AltDeliciou5#1563,1369,48.69,220,54,0,0,0,1,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,46,0,0,0.5,1.0
Zoidian#1991,2255,18994.18,32570,4006,0,0,0,96,0,80,4,49,8,11,0,2,0,27954,10,3,1,6,4,9,0,19,184,0,0,0,6964.46,18,0,3600,39,0,0.22,0.23
Luminuso#2718,2646,1308.02,2194,0,0,0,0,2,0,9,0,7,0,0,0,0,0,2194,1,0,0,0,0,0,0,3,19,0,0,0,330,2,0,120,14,0,0.38,0.35
CatBug#1747,3112,7636.68,14972,883,0,0,0,14,0,45,0,23,0,2,0,1,0,14044,4,1,1,1,0,5,0,18,162,0,0,0,2749,1,0,900,224,0,0.38,0.72
golde#11609,4114,0,66,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
BONerGuy#11556,3517,2867.91,5327,622,0,0,0,8,0,17,0,8,0,1,0,0,0,4631,2,1,0,0,0,3,0,4,44,0,0,0,1317.27,2,0,420,82,0,0.35,0.52
Vark#21111,2568,2312.32,4200,627,0,0,0,8,0,14,0,8,1,1,0,0,0,3573,1,1,0,0,0,1,0,2,74,0,0,0,915,2,0,420,37,0,0.27,0
Skoll#2169,2411,29683.4,50878,5807,0,0,0,42,0,142,0,86,1,4,0,3,0,44119,13,6,1,6,4,20,2,45,338,0,1,0,11737.52,20,0,3300,591,16,0.31,0.74
CowboyShark#2478,2432,100,783,400,0,0,0,2,0,2,0,1,0,0,0,0,0,383,0,0,0,0,0,0,0,1,3,0,0,0,30,0,0,60,0,0,0.42,0
Levi#22103,2813,3701.16,7378,1190,0,0,0,8,0,19,0,10,0,1,0,1,0,6188,1,0,0,1,0,3,0,5,36,0,0,0,1414.57,1,0,480,12,0,0.25,0.75
Blackwell#21780,2713,356630,636776,72429,10,0,0,845,0,1577,16,1011,33,74,3,39,0,553368,177,68,55,53,21,195,11,542,4643,0,0,0,144308.51,267,2,46800,4490,34,0.34,0.53
JDC1337#1416,3778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
blank#13790,2391,823.89,1512,46,0,0,0,7,0,5,0,1,0,0,0,0,0,1466,0,0,0,0,1,0,0,2,9,0,0,0,240,0,0,240,0,0,0.34,0.37
nomx4#1849,2091,338.96,454,49,0,0,0,4,0,4,0,2,0,0,0,0,0,405,0,0,0,0,0,0,0,1,17,0,0,0,180,0,0,120,0,0,0.11,0.72
Xerxies#11444,2354,2880.11,4915,786,0,0,0,7,0,7,0,5,0,0,0,0,0,4129,2,1,0,1,0,1,0,4,36,0,0,0,870,1,0,240,12,0,0.36,0.22
PropheticOni#1290,2104,16867.48,27837,2266,0,0,0,49,0,68,2,41,2,5,0,3,0,25339,10,6,3,1,0,13,1,26,224,0,0,0,6491.88,14,0,2460,151,0,0.37,0.63
ZULUL#2461,2811,89157.55,156907,14147,3,0,0,150,0,450,5,297,8,16,0,8,0,140593,42,12,16,14,2,58,2,159,1167,0,0,0,38263.23,95,0,10800,1755,8,0.39,0.5
lummy#11148,2403,452.73,962,253,0,0,0,1,0,1,0,1,0,0,0,0,0,709,0,0,0,0,0,0,0,1,8,0,0,0,180,0,0,120,0,0,0.13,0.49
Jeppy#11615,2830,8663.57,16494,2008,0,0,0,17,0,37,0,21,0,1,0,1,0,13270,3,1,1,1,0,5,1,12,130,0,0,1,3270.76,4,0,1020,144,2,0.3,0.71
FrostBurn#11611,2119,976.32,1796,284,0,0,0,3,0,2,0,1,0,0,0,0,0,1512,0,0,0,0,0,0,0,2,7,0,1,0,270,0,0,60,0,0,0.38,0.13
murdoct#1139,1135,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.01,1.0
